time 600 560 0,abs 600 560 0,old_name,new_name
26.4963256,0.173,,
26.5963957,0.173,,
26.6962604,0.173,,
26.7994133,0.173,,
26.9003393,0.172,,
26.9989152,0.172,,
27.0963317,0.173,,
27.1963011,0.172,,
27.296843,0.172,,
27.3962969,0.174,,
27.4962907,0.173,,
27.6009496,0.173,,
27.6963001,0.173,,
27.7963118,0.173,,
27.8961405,0.173,,
27.9961748,0.173,,
28.0962494,0.173,,
28.196263,0.172,,
28.2985959,0.173,,
28.40151,0.174,,
28.4961942,0.173,,
28.5961647,0.173,,
28.6962476,0.174,,
28.7960334,0.173,,
28.8966414,0.173,,
28.9961896,0.174,,
29.0985265,0.174,,
29.1960042,0.173,,
29.2960874,0.173,,
29.3979161,0.173,,
29.49627,0.174,,
29.5960862,0.175,,
29.6965854,0.174,,
29.7986744,0.174,,
29.8960034,0.174,,
29.9985158,0.173,,
30.0965849,0.174,,
30.1961841,0.175,,
30.2962728,0.173,,
30.3961091,0.174,,
30.4982989,0.174,,
30.5960714,0.175,,
30.6959982,0.174,,
30.7965008,0.174,,
30.8962655,0.175,,
30.9962006,0.175,,
31.0963793,0.175,,
31.1965922,0.175,,
31.2961765,0.174,,
31.3962928,0.175,,
31.4966887,0.174,,
31.5964734,0.175,,
31.6961838,0.174,,
31.7961987,0.175,,
31.9033916,0.175,,
31.9991825,0.175,,
32.0965716,0.174,,
32.1963036,0.174,,
32.297212,0.175,,
32.3961236,0.176,,
32.4962813,0.175,,
32.5962331,0.175,,
32.6959982,0.177,,
32.7963863,0.175,,
32.8960616,0.175,,
32.9961225,0.175,,
33.0961915,0.175,,
33.1958661,0.174,,
33.2977054,0.176,,
33.3962761,0.175,,
33.4959402,0.175,,
33.5959906,0.175,,
33.7052851,0.175,,
33.7970818,0.175,,
33.8957169,0.175,,
33.9956954,0.175,,
34.0961203,0.177,,
34.1959848,0.176,,
34.2960295,0.176,,
34.3960285,0.176,,
34.4961599,0.175,,
34.5959161,0.175,,
34.6957056,0.175,,
34.79726,0.175,,
34.8990784,0.176,,
34.9957095,0.176,,
35.0959843,0.175,,
35.1957747,0.174,,
35.2970737,0.175,,
35.39584,0.175,,
35.4958815,0.175,,
35.5956479,0.176,,
35.697453,0.175,,
35.7959024,0.176,,
35.8959829,0.176,,
35.9956533,0.175,,
36.0979105,0.176,,
36.195961,0.176,,
36.2985534,0.176,,
36.3959643,0.176,,
36.4983788,0.176,,
36.5955629,0.176,,
36.6964538,0.176,,
36.7955232,0.176,,
36.8953816,0.176,,
36.9954986,0.176,,
37.0954983,0.177,,
37.1954609,0.176,,
37.2953927,0.177,,
37.3953946,0.176,,
37.4983975,0.177,,
37.5954208,0.176,,
37.6953795,0.176,,
37.7984167,0.176,,
37.8985569,0.178,,
37.9986328,0.177,,
38.0958674,0.177,,
38.1952222,0.177,,
38.2952695,0.176,,
38.3951775,0.177,,
38.4994164,0.177,,
